"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1","1","C","","","","Capacitor_THT:CP_Radial_D4.0mm_P1.50mm",""
"C2","1","C","","","","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm",""
"C3,C4","2","C","","","","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm",""
"D1","1","1N4007","","","","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","http://www.vishay.com/docs/88503/1n4001.pdf"
"D2","1","LED","","","","LED_THT:LED_D3.0mm",""
"D3","1","LED","","","","TerminalBlock:TerminalBlock_Xinya_XY308-2.54-2P_1x02_P2.54mm_Horizontal",""
"J1","1","Screw_Terminal_01x02","","","","TerminalBlock:TerminalBlock_Xinya_XY308-2.54-2P_1x02_P2.54mm_Horizontal",""
"Q1,Q2","2","IRLZ24","","","","Package_TO_SOT_THT:TO-220-3_Vertical","https://www.vishay.com/docs/91326/sihlz24.pdf"
"R1,R2,R3,R4,R5,R6,R7","7","R","","","","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal",""
"T1","1","Transformer_1P_SS","","","","TerminalBlock:TerminalBlock_Xinya_XY308-2.54-5P_1x05_P2.54mm_Horizontal",""
"U1","1","IR2153","","","","Package_DIP:DIP-8_W7.62mm_SMDSocket_SmallPads","https://www.infineon.com/dgdl/ir2153.pdf?fileId=5546d462533600a4015355c8c5fc16af"
